#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smtp
#open	2025-03-07-06-43-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	helo	mailfrom	rcptto	date	from	to	cc	reply_to	msg_id	in_reply_to	subject	x_originating_ip	first_received	second_received	last_reply	path	user_agent	tls	fuids
#types	time	string	addr	port	addr	port	count	string	string	set[string]	string	string	set[string]	set[string]	string	string	string	string	addr	string	string	string	vector[addr]	string	bool	vector[string]
1421927439.282477	C7tPkF2nMawWA4I6l6	175.45.176.1	24289	149.171.126.19	25	1	ALKnDdQcD	cfbKreD0EVW7@ALKnDdQcD.com	UTOAk130wFN8uY4TW@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH.com	Wed, 21 Jan 2015 09:54:13 +1100	O0m@ALKnDdQcD.com	ndsTTwiyu5lauqfMHR@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH.edu	-	-	<RXJOhJWrPjiR4jkZiv0az>	-	2aOcWL0o9	-	-	-	250 2.6.0 <MAILJTdc23NhPZsvWnJqq5KNhHeV@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH> Queued mail for delivery	149.171.126.19,175.45.176.1	-	F	FHNpY31vYB0m0hzBx2,FhlZqu3YmBwoSzzqci
1421927609.226957	CscSze2gBS1cnmyFt5	59.166.0.7	27222	149.171.126.7	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.7,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FzFZgx3GfaaaJYYq99,F41mgJcwG9uiHi0ph
1421927609.626960	Cy0bHp4MRQIm3kpZE7	59.166.0.4	55046	149.171.126.5	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	FyuGyBdDiiiJZYbu2,FjfJux33OExLza5RJd
1421927610.134677	CO2otTgWDJZ77xvxi	59.166.0.4	9215	149.171.126.1	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.1,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	Fa48hv22Z9gOTkClMc,FAr7D42gqjVirwYa7g
1421927610.826955	Ct7LNA4AtyJYeFpBdd	59.166.0.6	36195	149.171.126.6	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FIXHR73JRRxlWSaVUe,F4IhPT6H2Kuj1DIii
1421927611.427087	CVTxfTyLf5B1IjIvf	59.166.0.9	54435	149.171.126.3	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FjU4ol4qbvDgnaRgRl,FtrOPP3mi8hp0EEW16
1421927611.688732	CvyHzh1K3pnZ0v65je	59.166.0.0	56440	149.171.126.6	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	F8EjIo3G7PZSFVoGMb,FBdQVB26anvS4FWSul
1421927616.327339	CLhU5dnequwP45ni8	59.166.0.3	37481	149.171.126.4	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.3	Microsoft Outlook Express 6.00.2800.1158	F	FZUzizSVXuMjn9KHb,Ftfh6X3A9cLNRYyCZf
1421927616.727321	CD7jyH2V1qm52wkWp6	59.166.0.1	61884	149.171.126.2	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.1	Microsoft Outlook Express 6.00.2800.1158	F	F6yecz4P2IFmokuWQg,Fe315N3mBvwsVZ79Jd
1421927616.183654	CPnMljr01Et2N2IC3	175.45.176.0	27068	149.171.126.13	25	1	vtFxClHJbHVjXFswkXCabWiPvd	Fuu3@vtFxClHJbHVjXFswkXCabWiPvd.gov	WwA52QwggGlW@PkvsYEMnIAPRiEL.gov	Wed, 21 Jan 2015 09:57:10 +1100	zGyyfSUKgNLl6KOa@vtFxClHJbHVjXFswkXCabWiPvd.com	IJuzC0zNRRdZTu3Z@PkvsYEMnIAPRiEL.com	-	-	<YwttShLzhRdk9sX4KXATXILAc9LD855lNGLuvhd8>	-	NnvccJ7GLV	-	-	-	250 2.6.0 <MAILfLxsZbgalOFwOszLV21mnzPA@PkvsYEMnIAPRiEL> Queued mail for delivery	149.171.126.13,175.45.176.0	-	F	F7NNnjLVINkTpggH9,FPz1204h0BGoUoFEB9
1421927617.427050	CXfzGa16uSKAKtmdyj	59.166.0.7	48232	149.171.126.8	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FiYUmf4MJO6Ky9Fkh,FXx3Y81JRHk1TKmt5j
1421927618.028167	CWBpT9iEpszFaO2j6	59.166.0.2	15566	149.171.126.3	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.2	Microsoft Outlook Express 6.00.2800.1158	F	F6LlF73qrll7ijN6k7,F6fSWt2Gdh4sJf8Fx5
1421927619.327158	CEPrwXynB0OzZEwp4	59.166.0.6	43867	149.171.126.3	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FZL0GF2SRHzUqGeNZk,FtwVsg2PObq0UPN6K5
1421927619.527150	C36nAC3vWHN9u8XOFk	59.166.0.2	44397	149.171.126.3	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.2	Microsoft Outlook Express 6.00.2800.1158	F	Fj9Eaz1iUSc2CRK9k3,FAKFr42d4pu14tfXTg
1421927620.527105	CmWeeU2qL6036VIx97	59.166.0.1	54371	149.171.126.7	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.7,59.166.0.1	Microsoft Outlook Express 6.00.2800.1158	F	FqCHtH38DbeiE64FFk,FJoOxk2NL1ZxBlnxT1
1421927621.219975	Cx0I6Z3Fr2KKbgEvKj	175.45.176.0	64570	149.171.126.18	25	1	SYrxRSfyPRvPuacmtaTFGhomGDqR	wNElUqKO0YnwFIysY0cAY@SYrxRSfyPRvPuacmtaTFGhomGDqR.us	tT8N5x3HhLwIyYC2ZXqa@zmBMFQOMDAylmMBaYnQtQaTLd.gov	Wed, 21 Jan 2015 09:57:15 +1100	Y8g5jLonqK9DaqezFkBgCgVL2sZ@SYrxRSfyPRvPuacmtaTFGhomGDqR.edu	kJoK2OUadEJZT@zmBMFQOMDAylmMBaYnQtQaTLd.org	-	-	<BWS78wihEV41oGztDHNKx7xyOf2gqRapNaHtTXmaunxdSjnL7Cdq>	-	OHD5mQk3	-	-	-	250 2.6.0 <MAILvedCk5v4pbYgfQQ0T00sLl2A@zmBMFQOMDAylmMBaYnQtQaTLd> Queued mail for delivery	149.171.126.18,175.45.176.0	-	F	FunukDIkd6T5JiBPa,Fh0Whk371wDjNiRan8
1421927622.127200	CtOqYP1naNpHwpTZjg	59.166.0.8	28268	149.171.126.9	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.9,59.166.0.8	Microsoft Outlook Express 6.00.2800.1158	F	Fa7BCi1eBwdCF2hz69,FQ0TGNFHVFUyioZKa
1421927622.527228	CLTuWZ2xqXEO6paSd5	59.166.0.9	57296	149.171.126.6	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	Fl7tk91A9afD8oMka,FYqMf43xQXEA6uvUE1
1421927626.127203	CVENJe3BhUrNDUjSQf	59.166.0.5	53088	149.171.126.9	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.9,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	Fxexyz4nOt0zDi0WN2,F1CHdC3aiX6zpQmxgi
1421927626.327291	CqPl2N3IaxgqXDkV2f	59.166.0.6	53260	149.171.126.4	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FnhcJS1k7obgWnxqg2,Fa4ZSS3BllCm1KXcFa
1421927627.338798	C5ZCXt12805sOSylKl	175.45.176.2	10556	149.171.126.14	25	1	DNzRmEisxOWJg	FoNnVL2arcoA7rCz6XAwsPF5dYjD@DNzRmEisxOWJg.net	sAobc5tosKIWLYeCuNCYWYnD@elIt.gov	Wed, 21 Jan 2015 09:57:21 +1100	gjZ3JYPtLs@DNzRmEisxOWJg.edu	gQhP8YxAH4rKc@elIt.org	-	-	<wswZno401ZmHIQCOsd2SfjcW9f1nBRxPcKDMxaNnQNC4IX3e7pU8p>	-	n3AaFU7fO97Uxqh8QbwyIRp	-	-	-	250 2.6.0 <MAILuNeVyNFbWezdmmqkhslPGJXD@elIt> Queued mail for delivery	149.171.126.14,175.45.176.2	-	F	FNlrEL2XIVo3PYpW13,FrpFMCg3vFQgua2Ul
1421927630.530452	Cr0n9LckQ4nVn5P6h	59.166.0.6	10831	149.171.126.4	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FNDAHh4Xk6zszo33V1,FW1kexwwKtwxYtLyk
1421927635.427477	Ct6QVV2HwWxPUwfm	59.166.0.6	31066	149.171.126.0	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.0,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FRFWqq4TTPzIejop9g,FMUfOX1eHMwOnsKu48
1421927636.527359	CkZYIp25IG0gFa2rZc	59.166.0.0	62634	149.171.126.6	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	Ff9JdabqqAhcmA6hf,FGon5U1hFD6vz8zvjg
1421927637.227266	CmnisK39vOJWxR9nG4	59.166.0.5	50993	149.171.126.8	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	F1FkQGUgapnffLSad,FAi9JI2EEtsHWZb4bf
1421927637.827413	COpbLN1gpuwdA5pDG4	59.166.0.0	9221	149.171.126.4	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	FySO5K1jCrLVUsKSzb,FpuPIQ3TDuLSinPQrb
1421927638.264159	CTgi0h3u5UffT3wS6c	59.166.0.1	1488	149.171.126.6	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.1	Microsoft Outlook Express 6.00.2800.1158	F	FQtNaO3hTIZ9ciqyoa,F9lyYl4DXWd6X9byw6
1421927637.443050	CFIp9w2dilvl1GJF03	175.45.176.2	35996	149.171.126.19	25	1	XsdKNxAk	KC5ZH8bVwZ3WNi96JiJ@XsdKNxAk.edu	AUILABmegD3bSO@gllGmyzUiNjmmJqRX.gov	Wed, 21 Jan 2015 09:57:31 +1100	Tz@XsdKNxAk.us	wFsom2s@gllGmyzUiNjmmJqRX.com	-	-	<c7a8UCjsNWkriV2qjAmpdrD>	-	PEJutWIkaiHPudDnS00W2Do1Jk8pToQN5tMF97XU6Pv8vBeHrO	-	-	-	250 2.6.0 <MAILRArib26zLw00LVzC089KEP2P@gllGmyzUiNjmmJqRX> Queued mail for delivery	149.171.126.19,175.45.176.2	-	F	FHF98W3E7JXMpqlMw5,F3PVq68MCplukwMmj
1421927639.227475	CczGzv4HgMMY64mUCk	59.166.0.7	46389	149.171.126.2	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FNoufU2MDS5APhSY8,FKHIEx39TtIIb6i4M
1421927642.627407	CzjLFQ1lVnpAzVnOWe	59.166.0.9	51277	149.171.126.3	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FKjshO1ZTvNCF3neQ7,FdIVwsfvzS88q4vUc
1421927643.429176	CDmabyFthP8aV6me9	59.166.0.4	11532	149.171.126.6	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	FSmlmN13Ttjtx6CPYk,FY8ADM7mCFmz6Rojl
1421927644.027432	C7L2O41181yIbxhq6a	59.166.0.5	22208	149.171.126.4	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	F9ln0Zt0qCldbKHNg,FKFfDz1uLmcT7cVLeh
1421927644.627199	CJKzBZ2jZd3JFrLpUh	59.166.0.7	51037	149.171.126.2	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FmSMzF4alVzvAStEM7,FQFCHC4KgA4CpIRbZ6
1421927645.227324	Cu5VUyhZxEM7n3wy4	59.166.0.6	38108	149.171.126.2	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FvxNdC9HHjzeGDyje,Fq3xrt2k2ndzxZzfmd
1421927645.565163	CgqEjx1gwTfLI16WVj	59.166.0.5	35284	149.171.126.4	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	FBTgOt16aTNdPf4V58,FEZmCm30RKkCSXtti1
1421927646.093154	CiPnFEkSR3utsfi5f	59.166.0.9	64735	149.171.126.1	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.1,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FCKsWc1sQwyVaSleg2,FSGdFN3yW4ko5CPEAh
1421927648.327530	Caxnmg2gT6A9rEPIfl	59.166.0.6	1312	149.171.126.6	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FntNlL3rehwo0ZZr4h,FptDro4yFmoLimnZy2
1421927649.027367	CQYRMb1cRlbmtklWOa	59.166.0.3	40713	149.171.126.0	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.0,59.166.0.3	Microsoft Outlook Express 6.00.2800.1158	F	FkLGxn4lj6GcLJpa4g,FPudllcjBEsq5WWvc
1421927650.581451	CtBPOy3sSzo3NwhbJh	175.45.176.0	54704	149.171.126.18	25	1	KrpTjPCVgu	xbdNaMHSk7H2SPU3n@KrpTjPCVgu.us	JilunnHwrVXR0jqbCg8xL5cIb9WslFK@JcMOuSOELvVyjcmbcG.com	Wed, 21 Jan 2015 09:57:44 +1100	cuXsbA0j0THdXzvL6@KrpTjPCVgu.us	sKi1f5CLCCGByjU0IKaNTEV3Ys34WcI@JcMOuSOELvVyjcmbcG.gov	-	-	<uOkyfxBCFyP5UgwIqNWPTGrWRdBbS>	-	JlrrE7e9018t93lh5p6sCY8wl9YvCs3ibpOkTzQQF29HTXKeSn	-	-	-	250 2.6.0 <MAILo6F0GbuR7o3TbCmqB3ZzujtB@JcMOuSOELvVyjcmbcG> Queued mail for delivery	149.171.126.18,175.45.176.0	-	F	FFABkE48tzFNeVsXh9
1421927650.427573	C6seGe4yNwcAfD3bB4	59.166.0.2	4930	149.171.126.4	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.2	Microsoft Outlook Express 6.00.2800.1158	F	F2reV74e5xXStzDFtj,FcCbof1ldICrv4XnM2
1421927653.328295	Cpmmzk27bLGtTkzu8i	59.166.0.5	62366	149.171.126.0	25	1	client-3ba60009.example.int	sender@example.com	recipient@example.com	Tue Jan 20 21:37:58 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<1KNCU0gCK07c8NoG@example.com>	-	Corky managed to get him in hand at	-	qmail 1253 by uid 1226; Mon May 19 11:31:00 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.0,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	F5PZkf2DdzBdYLGnAc,FHcWdg1eu03QXoruW2
1421927653.427555	CTre204CYChTK2Cv75	59.166.0.1	56212	149.171.126.9	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.9,59.166.0.1	Microsoft Outlook Express 6.00.2800.1158	F	FSKvQogwq2yDIPRek,Fay2x13oYWfuxjGn4k
1421927654.827649	CIbk8Q1cUl8UwEo4u2	59.166.0.8	63006	149.171.126.8	25	1	client-3ba60007.example.int	sender@example.com	recipient@example.com	Wed Jan 21 03:03:01 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<fEtxFl2a4low7NTs@example.com>	-	Very good, sir. I boiled down Corky's painful	-	qmail 1748 by uid 2352; Fri May 23 01:25:11 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.8	Microsoft Outlook Express 6.00.2800.1158	F	FoAOBy5TyHwC6M8d4,FAqaH52KEkksqcRoK2
